year,month,day,hour,speed
2014,1,1,0,99.42
2014,1,1,1,99.72
2014,1,1,2,99.54
2014,1,1,3,101
2014,1,1,4,102.02
2014,1,1,5,101.27
2014,1,1,6,100.19
2014,1,1,7,96.77
2014,1,1,8,96.61
2014,1,1,9,93.32
2014,1,1,10,91.75
2014,1,1,11,90.84
2014,1,1,12,91.18
2014,1,1,13,93.06
2014,1,1,14,0
2014,1,1,15,0
2014,1,1,16,85.63
2014,1,1,17,85.49
2014,1,1,18,89.63
2014,1,1,19,86.67
2014,1,1,20,87.67
2014,1,1,21,93.52
2014,1,1,22,98.68
2014,1,1,23,103.41
2014,1,2,0,104.44
2014,1,2,1,103.39
2014,1,2,2,100.9
2014,1,2,3,100.39
2014,1,2,4,101.3
2014,1,2,5,98.87
2014,1,2,6,67.88
2014,1,2,7,47.56
2014,1,2,8,73.99
2014,1,2,9,85.46
2014,1,2,10,80.6
2014,1,2,11,80.03
2014,1,2,12,83.39
2014,1,2,13,84.78
2014,1,2,14,75.38
2014,1,2,15,71.54
2014,1,2,16,85.52
2014,1,2,17,84.62
2014,1,2,18,85.74
2014,1,2,19,89.34
2014,1,2,20,89.84
2014,1,2,21,93.8
2014,1,2,22,96.48
2014,1,2,23,99.53
2014,1,3,0,100.26
2014,1,3,1,99.7
2014,1,3,2,97.03
2014,1,3,3,95.83
2014,1,3,4,96.63
2014,1,3,5,98.01
2014,1,3,6,90.89
2014,1,3,7,78.68
2014,1,3,8,80.14
2014,1,3,9,81.23
2014,1,3,10,74.89
2014,1,3,11,75.71
2014,1,3,12,83.16
2014,1,3,13,82.62
2014,1,3,14,82.65
2014,1,3,15,84.04
2014,1,3,16,83.22
2014,1,3,17,82.29
2014,1,3,18,84.29
2014,1,3,19,83.95
2014,1,3,20,85.33
2014,1,3,21,91.45
2014,1,3,22,96.12
2014,1,3,23,99.42
2014,1,4,0,101.36
2014,1,4,1,101.18
2014,1,4,2,100.14
2014,1,4,3,98.3
2014,1,4,4,99.48
2014,1,4,5,98.16
2014,1,4,6,92.36
2014,1,4,7,83.44
2014,1,4,8,84.96
2014,1,4,9,85.57
2014,1,4,10,49.11
2014,1,4,11,44.89
2014,1,4,12,89.47
2014,1,4,13,90.63
2014,1,4,14,87.55
2014,1,4,15,84.7
2014,1,4,16,85.33
2014,1,4,17,83.5
2014,1,4,18,84.41
2014,1,4,19,86.26
2014,1,4,20,90.46
2014,1,4,21,95.09
2014,1,4,22,98.45
2014,1,4,23,102.12
2014,1,5,0,103.96
2014,1,5,1,105.2
2014,1,5,2,105.78
2014,1,5,3,104.42
2014,1,5,4,99.67
2014,1,5,5,103.54
2014,1,5,6,101.37
2014,1,5,7,95.66
2014,1,5,8,97.15
2014,1,5,9,94.01
2014,1,5,10,93.46
2014,1,5,11,89.15
2014,1,5,12,92.47
2014,1,5,13,94.04
2014,1,5,14,89.8
2014,1,5,15,87.42
2014,1,5,16,84.55
2014,1,5,17,83.24
2014,1,5,18,65.35
2014,1,5,19,87.97
2014,1,5,20,85
2014,1,5,21,94.09
2014,1,5,22,98.75
2014,1,5,23,103.17
2014,1,6,0,102.13
2014,1,6,1,95.78
2014,1,6,2,99.67
2014,1,6,3,98.93
2014,1,6,4,99.89
2014,1,6,5,98.56
2014,1,6,6,72.84
2014,1,6,7,52.87
2014,1,6,8,79.77
2014,1,6,9,82.76
